from_id,relation,to_id
devananda-pandit,gauranga-lila-identity,bhaguri-muni
vrindavana-dasa-thakura,gauranga-lila-identity,vyasadeva
vallabha-bhatta,gauranga-lila-identity,sukadeva
jagannatha-acharya,gauranga-lila-identity,durvasa
chandrashekhara-acharya,gauranga-lila-identity,chandra
vishveshvara-acharya,gauranga-lila-identity,surya
bhaskara-thakura,gauranga-lila-identity,vishvakarma
vanamali-thakura,gauranga-lila-identity,sudama-brahmana
jagannatha-jv,gauranga-lila-identity,jaya
madhava-jv,gauranga-lila-identity,vijaya
govinda-pk,gauranga-lila-identity,pundarikaksha
garuda-kumuda,gauranga-lila-identity,kumuda
garuda-pandit,gauranga-lila-identity,garuda
gopinatha-simha,gauranga-lila-identity,akrura
paramananda-puri,gauranga-lila-identity,uddhava
prataparudra,gauranga-lila-identity,indradyumna
sarvabhauma-bhattacharya,gauranga-lila-identity,brihaspati
ramananda-raya,gauranga-lila-identity,arjuna
bhavananda-raya,gauranga-lila-identity,pandu
ramadasa-abhirama,gauranga-lila-identity,shridama
sundara-thakura,gauranga-lila-identity,sudama-gopa
dhananjaya-pandit,gauranga-lila-identity,vasudama
gauridasa-pandit,gauranga-lila-identity,subala
kamalakara-pippalai,gauranga-lila-identity,mahabala
uddharana-datta,gauranga-lila-identity,subahu
mahesha-pandit,gauranga-lila-identity,mahabahu
purushottama-dasa,gauranga-lila-identity,stokakrishna
nagara-purushottama,gauranga-lila-identity,dama-gopa
parameshvara-dasa,gauranga-lila-identity,arjuna-gopa
kalakrishna-dasa,gauranga-lila-identity,lavanga-gopa
kholavecha-shridhara,gauranga-lila-identity,kusumashava
halayudha-thakura,gauranga-lila-identity,prabala
rudra-pandit,gauranga-lila-identity,varuthapa
kumudananda-pandit,gauranga-lila-identity,gandharva-gopa
kashishvara,gauranga-lila-identity,bhringara
govinda-servant,gauranga-lila-identity,bhangura
haridasa-servant,gauranga-lila-identity,raktaka
brihachchhishu,gauranga-lila-identity,patraka
ramai,gauranga-lila-identity,payoda
nandai,gauranga-lila-identity,varida
mukunda-datta,gauranga-lila-identity,madhukantha
vasudeva-datta,gauranga-lila-identity,madhuvrata
makaradhvajakara,gauranga-lila-identity,chandramukha
shankara-ghosha,gauranga-lila-identity,sudhakara
jagadisha-pandit,gauranga-lila-identity,chandrahasa
vanamala-pandit,gauranga-lila-identity,maladhara
chaitanya-dasa,gauranga-lila-identity,daksha-parrot
rama-dasa,gauranga-lila-identity,vichakshana-parrot
gadadhara,gauranga-lila-identity,radharani
dhruvananda-brahmachari,gauranga-lila-identity,lalita
gadadhara-dasa,gauranga-lila-identity,chandrakanti
sadashiva-kaviraja,gauranga-lila-identity,chandravali
shankara-pandit,gauranga-lila-identity,shribhadra
jagannatha-tp,gauranga-lila-identity,taraka-devi
gopala-tp,gauranga-lila-identity,pali-devi
damodara-pandit,gauranga-lila-identity,shaibya
svarupa-damodara,gauranga-lila-identity,vishakha
vanamali-chitra,gauranga-lila-identity,chitra-devi
raghava-goswami,gauranga-lila-identity,champakalata
prabodhananda-saraswati-thakur,gauranga-lila-identity,tungavidya
krishnadasa-brahmachari,gauranga-lila-identity,indulekha
gadadhara-bhatta,gauranga-lila-identity,rangadevi
ananta-acharya,gauranga-lila-identity,sudevi
kashishvara-goswami,gauranga-lila-identity,shashirekha
raghava-pandit,gauranga-lila-identity,dhanishtha
damayanti-devi,gauranga-lila-identity,gunamala
krishnadas-rr,gauranga-lila-identity,ratnarekha
krishnananda-kv,gauranga-lila-identity,kalavati
narayana-vachaspati,gauranga-lila-identity,gauraseni
pitambara,gauranga-lila-identity,kaveri
makaradhvaja,gauranga-lila-identity,sukeshi
madhvacharya-gl,gauranga-lila-identity,madhavi-gopi
jiva-pandit,gauranga-lila-identity,indira-gopi
vidyavachaspati,gauranga-lila-identity,tungavidya2
balabhadra-bhattacharya,gauranga-lila-identity,madhurekshana
shrinatha-mishra,gauranga-lila-identity,chitrani
kavichandra,gauranga-lila-identity,manohara
sharanga-thakura,gauranga-lila-identity,nandimukhi
ramananda-vasu,gauranga-lila-identity,kalakantha
satyaraja,gauranga-lila-identity,sukantha
shrikanta-sena,gauranga-lila-identity,katyayani
mukunda-dasa-shrikhanda,gauranga-lila-identity,vrinda-devi
shivananda-sena,gauranga-lila-identity,vira-devi
narahari-sarakara-thakur,gauranga-lila-identity,madhumati
gopinatha-acharya-rv,gauranga-lila-identity,ratnavali-devi
vamshi-dasa-thakura,gauranga-lila-identity,krishna-flute
rupa-goswami,gauranga-lila-identity,rupa-manjari
sanatana-goswami,gauranga-lila-identity,lavanga-manjari
shivananda-chakravarti,gauranga-lila-identity,lavanga-manjari
gopala-bhatta-goswami,gauranga-lila-identity,ananga-manjari
raghunatha-bhatta-goswami,gauranga-lila-identity,raga-manjari
raghunatha-das-goswami,gauranga-lila-identity,rasa-manjari
bhugarbha-goswami,gauranga-lila-identity,prema-manjari
lokanatha-goswami,gauranga-lila-identity,lila-manjari
kalidasa,gauranga-lila-identity,malli-devi
shuklambara-brahmachari,gauranga-lila-identity,yajna-patni
kashi-mishra,gauranga-lila-identity,kubja
ananta-puri,gauranga-lila-identity,eight-siddhis
sukhananda-puri,gauranga-lila-identity,eight-siddhis
govinda-puri,gauranga-lila-identity,eight-siddhis
raghunatha-puri,gauranga-lila-identity,eight-siddhis
krishnananda-puri,gauranga-lila-identity,eight-siddhis
keshava-puri,gauranga-lila-identity,eight-siddhis
damodara-puri,gauranga-lila-identity,eight-siddhis
raghava-puri,gauranga-lila-identity,eight-siddhis
nrisimhananda-tirtha,gauranga-lila-identity,nine-jayantas
satyananda-bharati,gauranga-lila-identity,nine-jayantas
nrisimha-tirtha,gauranga-lila-identity,nine-jayantas
chidananda-tirtha,gauranga-lila-identity,nine-jayantas
jagannatha-tirtha,gauranga-lila-identity,nine-jayantas
vasudeva-tirtha,gauranga-lila-identity,nine-jayantas
rama-tirtha,gauranga-lila-identity,nine-jayantas
purushottama-tirtha-gl,gauranga-lila-identity,nine-jayantas
garuda-avadhuta,gauranga-lila-identity,nine-jayantas
shrinidhi,gauranga-lila-identity,nine-treasures-kuvera
shrigarbha,gauranga-lila-identity,nine-treasures-kuvera
kaviratna,gauranga-lila-identity,nine-treasures-kuvera
sudhanidhi,gauranga-lila-identity,nine-treasures-kuvera
vidyanidhi-gl,gauranga-lila-identity,nine-treasures-kuvera
gunanidhi,gauranga-lila-identity,nine-treasures-kuvera
ratnabahu,gauranga-lila-identity,nine-treasures-kuvera
acharyaratna,gauranga-lila-identity,nine-treasures-kuvera
ratnakara-pandit,gauranga-lila-identity,nine-treasures-kuvera
kashinatha-natha,gauranga-lila-identity,four-kumaras
lokanatha-natha,gauranga-lila-identity,four-kumaras
shrinatha-natha,gauranga-lila-identity,four-kumaras
ramanatha-natha,gauranga-lila-identity,four-kumaras
subhananda-dvija,gauranga-lila-identity,sakhi-of-radharani
shridhara-brahmachari,gauranga-lila-identity,sakhi-of-radharani
parananda-gupta,gauranga-lila-identity,sakhi-of-radharani
raghunatha-dvija,gauranga-lila-identity,sakhi-of-radharani
kamshari-sena,gauranga-lila-identity,sakhi-of-radharani
jagannatha-sena,gauranga-lila-identity,sakhi-of-radharani
subuddhi-mishra,gauranga-lila-identity,sakhi-of-radharani
shriharsha,gauranga-lila-identity,sakhi-of-radharani
raghu-mishra,gauranga-lila-identity,sakhi-of-radharani
jitamrita,gauranga-lila-identity,sakhi-of-radharani
bhagavatacharya,gauranga-lila-identity,sakhi-of-radharani
jiva-pandit-vallabha,gauranga-lila-identity,sakhi-of-radharani
vaninatha-dvija,gauranga-lila-identity,sakhi-of-radharani
ishanacharya,gauranga-lila-identity,sakhi-of-radharani
kamala-gl,gauranga-lila-identity,sakhi-of-radharani
lakshminatha-pandit,gauranga-lila-identity,sakhi-of-radharani
ganga-mantri,gauranga-lila-identity,sakhi-of-radharani
jagannatha-mamu,gauranga-lila-identity,sakhi-of-radharani
shrikanthabharana-ananta,gauranga-lila-identity,sakhi-of-radharani
hastigopala,gauranga-lila-identity,sakhi-of-radharani
hari-acharya,gauranga-lila-identity,sakhi-of-radharani
shrinayana-mishra,gauranga-lila-identity,sakhi-of-radharani
kavidatta,gauranga-lila-identity,sakhi-of-radharani
ramadas-193,gauranga-lila-identity,sakhi-of-radharani
chiranjiva,gauranga-lila-identity,sakhi-of-radharani
sulochana,gauranga-lila-identity,sakhi-of-radharani
narada,disciple-of,brahma
vyasadeva,disciple-of,narada
madhva,disciple-of,vyasadeva
padmanabha-tirtha,disciple-of,madhva
narahari-tirtha,disciple-of,padmanabha-tirtha
madhava-tirtha,disciple-of,narahari-tirtha
akshobhya-tirtha,disciple-of,madhava-tirtha
jayatirtha,disciple-of,akshobhya-tirtha
jnanasindhu,disciple-of,jayatirtha
mahanidhi,disciple-of,jnanasindhu
vidyanidhi-tirtha,disciple-of,mahanidhi
rajendra-tirtha,disciple-of,vidyanidhi-tirtha
jayadharma-muni,disciple-of,rajendra-tirtha
purushottama-tirtha,disciple-of,jayadharma-muni
vyasatirtha,disciple-of,purushottama-tirtha
lakshmipati-tirtha,disciple-of,vyasatirtha
madhavendra-puri,disciple-of,lakshmipati-tirtha
ishvara-puri,disciple-of,madhavendra-puri
