id,type,tattva,category,name_en,name_iast,name_ru,aliases,note,source_ref,confidence,iast_status
uddhava,personality,jiva-tattva,krishna-associate|bhagavatam,Uddhava,Uddhava,Уддхава,,Близкий друг Кришны,СБ 3.4; 11.6-29,verified,verified
akrura,personality,jiva-tattva,krishna-associate|bhagavatam,Akrura,Akrūra,Акрура,,"Преданный, привёзший Кришну в Матхуру",,verified,verified
arjuna,personality,jiva-tattva,mahabharata|gita|pandava,Arjuna,Arjuna,Арджуна,Partha|Dhananjaya|Gudakesha|Kaunteya,Слушатель Бхагавад-гиты; вечный спутник Кришны,Б.-г.,verified,verified
yudhishthira,personality,jiva-tattva,mahabharata|pandava,Yudhishthira,Yudhiṣṭhira,Юдхиштхира,Dharmaraja,Старший из Пандавов,,verified,verified
bhima,personality,jiva-tattva,mahabharata|pandava,Bhima,Bhīma,Бхима,Vrikodara,Второй из Пандавов,,verified,verified
nakula,personality,jiva-tattva,mahabharata|pandava,Nakula,Nakula,Накула,,Четвёртый из Пандавов,,verified,verified
sahadeva,personality,jiva-tattva,mahabharata|pandava,Sahadeva,Sahadeva,Сахадева,,Пятый из Пандавов,,verified,verified
kunti,personality,jiva-tattva,mahabharata|bhagavatam,Kunti,Kuntī,Кунти,Pritha,"Мать Пандавов; её молитвы в ШБ, Песнь 1",СБ 1.8,verified,verified
draupadi,personality,jiva-tattva,mahabharata,Draupadi,Draupadī,Драупади,Panchali,Супруга Пандавов,,verified,verified
abhimanyu,personality,jiva-tattva,mahabharata,Abhimanyu,Abhimanyu,Абхиманью,,Сын Арджуны и Субхадры,,review,verified
pariksit,personality,jiva-tattva,bhagavatam,Pariksit Maharaja,Parīkṣit,Махараджа Парикшит,Pariksit,Слушатель Шримад-Бхагаватам; внук Арджуны,СБ 1.4-1.19,verified,verified
sanjaya,personality,jiva-tattva,mahabharata|gita,Sanjaya,Sañjaya,Санджая,,Пересказал Гиту Дхритараштре,Б.-г.,verified,verified
vidura,personality,jiva-tattva,mahabharata|bhagavatam,Vidura,Vidura,Видура,,Услышал Бхагаватам от Майтреи,СБ 3,verified,verified
bhishma,personality,jiva-tattva,mahabharata|maha-jana,Bhishma,Bhīṣma,Бхишма,Devavrata|Gangeya,Дед Куру; один из двенадцати махаджан,,verified,verified
drona,personality,jiva-tattva,mahabharata,Dronacharya,Droṇācārya,Дроначарья,Drona,Военный наставник Куру и Пандавов,,verified,verified
karna,personality,jiva-tattva,mahabharata,Karna,Karṇa,Карна,Radheya,Сын Кунти от Сурьи,,review,verified
dhritarashtra,personality,jiva-tattva,mahabharata,Dhritarashtra,Dhṛtarāṣṭra,Дхритараштра,,Слепой царь Куру; отец Дурьодханы,,verified,verified
duryodhana,personality,jiva-tattva,mahabharata,Duryodhana,Duryodhana,Дурьодхана,Suyodhana,Старший из Кауравов,,verified,verified
prahlada,personality,jiva-tattva,bhagavatam|maha-jana,Prahlada Maharaja,Prahlāda Mahārāja,Прахлада Махарадж,Prahlada,Великий преданный; сын Хираньякашипу; махаджана,СБ 7,verified,verified
dhruva,personality,jiva-tattva,bhagavatam,Dhruva Maharaja,Dhruva Mahārāja,Дхрува Махарадж,Dhruva,"Ребёнок-преданный, достигший Полярной звезды",СБ 4.8-12,verified,verified
ajamila,personality,jiva-tattva,bhagavatam,Ajamila,Ajāmila,Аджамила,,"Падший брахман, спасённый именем Нараяны",СБ 6.1-2,verified,verified
ambarisa,personality,jiva-tattva,bhagavatam,Ambarisa Maharaja,Ambarīṣa,Амбариша Махарадж,Ambarisa,Образцовый царь-преданный,СБ 9.4-5,verified,verified
bali,personality,jiva-tattva,bhagavatam|maha-jana,Bali Maharaja,Bali Mahārāja,Бали Махарадж,Bali,Отдал всё Вамане; махаджана,СБ 8.15-23,verified,verified
bharata-maharaja,personality,jiva-tattva,bhagavatam,Bharata Maharaja,Bharata Mahārāja,Бхарата Махарадж,Jada Bharata,"Царь, по имени которого названа Бхарата-варша",СБ 5.7-14,review,verified
sukadeva,personality,jiva-tattva,bhagavatam|sage,Shukadeva Goswami,Śukadeva Gosvāmī,Шукадева Госвами,Suka,Рассказчик Шримад-Бхагаватам Парикшиту; сын Вьясы,СБ 1.2,verified,verified
maitreya,personality,jiva-tattva,bhagavatam|sage,Maitreya,Maitreya,Майтрея,,"Мудрец, наставлявший Видуру",СБ 3,verified,verified
narada,personality,jiva-tattva,shaktyavesha|sage|maha-jana|parampara,Narada Muni,Nārada Muni,Нарада Муни,Narada|Devarshi,Странствующий мудрец; шактьявеша; махаджана; звено парампары,СБ 1.5-6,verified,verified
hiranyakashipu,personality,jiva-tattva,demon|bhagavatam,Hiranyakashipu,Hiraṇyakaśipu,Хираньякашипу,,Демон-отец Прахлады,СБ 7,verified,verified
hiranyaksha,personality,jiva-tattva,demon|bhagavatam,Hiranyaksha,Hiraṇyākṣa,Хираньякша,,"Демон, убитый Варахой",СБ 3.17-19,verified,verified
kamsa,personality,jiva-tattva,demon|bhagavatam,Kamsa,Kaṁsa,Камса,,Демоничный царь Матхуры; дядя Кришны,СБ 10,verified,verified
putana,personality,jiva-tattva,demon|bhagavatam,Putana,Pūtanā,Путана,,"Ведьма, убитая младенцем Кришной",СБ 10.6,verified,verified
ravana,personality,jiva-tattva,demon|ramayana,Ravana,Rāvaṇa,Равана,,Демон-царь Ланки,,verified,verified
hanuman,personality,jiva-tattva,ramayana|maha-jana,Hanuman,Hanumān,Хануман,Bajrangabali|Anjaneya,Великий преданный Рамы,,verified,verified
brahma,personality,jiva-tattva,guna-avatara|creator|parampara|maha-jana,Brahma,Brahmā,Брахма,Svayambhu|Pitamaha,Гуна-аватара страсти; обычно наделённая силой джива; первый в парампаре,Ч.-ч. Мадхья 20,verified,verified
indra,personality,jiva-tattva,demigod|svarga,Indra,Indra,Индра,Devaraja|Purandara,Царь райских планет (пост джив),,verified,verified
surya,personality,jiva-tattva,demigod,Surya,Sūrya,Сурья,Vivasvan,Бог Солнца; первым получил Гиту,Б.-г. 4.1,verified,verified
chandra,personality,jiva-tattva,demigod,Chandra,Candra,Чандра,Soma,Бог Луны,,review,verified
varuna,personality,jiva-tattva,demigod,Varuna,Varuṇa,Варуна,,Бог вод,,review,verified
yamaraja,personality,jiva-tattva,demigod|maha-jana,Yamaraja,Yamarāja,Ямараджа,Dharmaraja|Yama,Владыка смерти; махаджана,,verified,verified
agni,personality,jiva-tattva,demigod,Agni,Agni,Агни,,Бог огня,,review,verified
kuvera,personality,jiva-tattva,demigod,Kuvera,Kuvera,Кувера,,Казначей полубогов,,review,verified
ganesha,personality,jiva-tattva,demigod,Ganesha,Gaṇeśa,Ганеша,Ganapati,Сын Шивы,,review,verified
kartikeya,personality,jiva-tattva,demigod,Kartikeya,Kārttikeya,Картикея,Skanda|Subrahmanya,Сын Шивы; полководец полубогов,,review,verified
vasishtha,personality,jiva-tattva,sage,Vasishtha,Vasiṣṭha,Васиштха,,Один из семи мудрецов,,review,verified
vishvamitra,personality,jiva-tattva,sage,Vishvamitra,Viśvāmitra,Вишвамитра,,Мудрец; наставник Рамы,,review,verified
atri,personality,jiva-tattva,sage,Atri,Atri,Атри,,Один из семи мудрецов,,review,verified
kashyapa,personality,jiva-tattva,sage,Kashyapa,Kaśyapa,Кашьяпа,,Прародитель-мудрец,,review,verified
durvasa,personality,jiva-tattva,sage,Durvasa,Durvāsā,Дурваса,,"Мудрец, известный гневом; испытал Амбаришу",СБ 9.4-5,review,verified
sanat-kumara,personality,jiva-tattva,shaktyavesha|kumaras|maha-jana,Sanat-kumara,Sanat-kumāra,Санат-кумар,Four Kumaras,Старший из четырёх Кумаров; шактьявеша; махаджана,,verified,verified
bhrigu,personality,jiva-tattva,sage,Bhrigu,Bhṛgu,Бхригу,,"Мудрец, испытавший трёх богов",,review,verified
svayambhuva-manu,personality,jiva-tattva,manu|maha-jana,Svayambhuva Manu,Svāyambhuva Manu,Сваямбхува Ману,Manu,Первый Ману; махаджана,,verified,verified
janaka,personality,jiva-tattva,king|maha-jana,Janaka,Janaka,Джанака,,Самоосознавший царь; отец Ситы; махаджана,,verified,verified
srivasa,personality,jiva-tattva,pancha-tattva|shuddha-bhakta,Srivasa Thakura,Śrīvāsa Ṭhākura,Шриваса Тхакур,,Чистый преданный (шуддха-бхакта) в Панча-таттве,Ч.-ч. Ади 7.5,verified,verified
svarupa-damodara,personality,jiva-tattva,gaudiya|chaitanya-associate,Svarupa Damodara Goswami,Svarūpa Dāmodara Gosvāmī,Сварупа Дамодара Госвами,,Доверенный секретарь Чайтаньи,,verified,verified
ramananda-raya,personality,jiva-tattva,gaudiya|chaitanya-associate,Ramananda Raya,Rāmānanda Rāya,Рамананда Рай,,Близкий спутник; наставник Чайтаньи,Ч.-ч. Мадхья 8,verified,verified
haridasa-thakura,personality,jiva-tattva,gaudiya|namacharya,Haridasa Thakura,Haridāsa Ṭhākura,Харидас Тхакур,Namacharya,Ачарья святого имени,,verified,verified
rupa-goswami,personality,jiva-tattva,gaudiya|six-goswamis,Rupa Goswami,Rūpa Gosvāmī,Рупа Госвами,,Глава Шести Госвами; автор «Бхакти-расамрита-синдху»,,verified,verified
sanatana-goswami,personality,jiva-tattva,gaudiya|six-goswamis,Sanatana Goswami,Sanātana Gosvāmī,Санатана Госвами,,Старший из Шести Госвами; автор «Хари-бхакти-виласы»,,verified,verified
raghunatha-das-goswami,personality,jiva-tattva,gaudiya|six-goswamis,Raghunatha das Goswami,Raghunātha dāsa Gosvāmī,Рагхунатха дас Госвами,,Один из Шести Госвами; образец отречения,,verified,verified
raghunatha-bhatta-goswami,personality,jiva-tattva,gaudiya|six-goswamis,Raghunatha Bhatta Goswami,Raghunātha Bhaṭṭa Gosvāmī,Рагхунатха Бхатта Госвами,,Один из Шести Госвами,,verified,verified
gopala-bhatta-goswami,personality,jiva-tattva,gaudiya|six-goswamis,Gopala Bhatta Goswami,Gopāla Bhaṭṭa Gosvāmī,Гопал Бхатта Госвами,,Один из Шести Госвами,,verified,verified
jiva-goswami,personality,jiva-tattva,gaudiya|six-goswamis,Jiva Goswami,Jīva Gosvāmī,Джива Госвами,,Один из Шести Госвами; автор «Шат-сандарбхи»,,verified,verified
krishnadasa-kaviraja,personality,jiva-tattva,gaudiya,Krishnadasa Kaviraja Goswami,Kṛṣṇadāsa Kavirāja Gosvāmī,Кришнадас Кавираджа Госвами,,Автор «Шри Чайтанья-чаритамриты»,,verified,verified
vrindavana-dasa-thakura,personality,jiva-tattva,gaudiya,Vrindavana dasa Thakura,Vṛndāvana dāsa Ṭhākura,Вриндаван дас Тхакур,,Автор «Чайтанья-бхагаваты»,,verified,verified
narottama-dasa-thakura,personality,jiva-tattva,gaudiya|acharya,Narottama dasa Thakura,Narottama dāsa Ṭhākura,Нароттама дас Тхакур,,Ачарья; автор бхаджанов,,verified,verified
madhavendra-puri,personality,jiva-tattva,gaudiya|parampara,Madhavendra Puri,Mādhavendra Purī,Мадхавендра Пури,,Росток премы в линии до Чайтаньи,Ч.-ч. Мадхья 4,verified,verified
ishvara-puri,personality,jiva-tattva,gaudiya|parampara,Ishvara Puri,Īśvara Purī,Ишвара Пури,,Дикша-гуру Чайтаньи Махапрабху,,verified,verified
madhva,personality,jiva-tattva,vaishnava-acharya|parampara,Madhvacharya,Madhvācārya,Мадхвачарья,Madhva|Anandatirtha,Основатель Мадхва-сампрадаи,,verified,verified
baladeva-vidyabhushana,personality,jiva-tattva,gaudiya|acharya,Baladeva Vidyabhushana,Baladeva Vidyābhūṣaṇa,Баладева Видьябхушана,,Автор комментария «Говинда-бхашья» к «Веданта-сутре»,,verified,verified
bhaktivinoda-thakura,personality,jiva-tattva,gaudiya|acharya,Bhaktivinoda Thakura,Bhaktivinoda Ṭhākura,Бхактивинода Тхакур,,Пионер современного возрождения гаудия-вайшнавизма,,verified,verified
gaurakishora-dasa-babaji,personality,jiva-tattva,gaudiya|acharya,Gaurakishora dasa Babaji,Gaurakiśora dāsa Bābājī,Гауракишора дас Бабаджи,,Дикша-гуру Бхактисиддханты Сарасвати,,verified,verified
bhaktisiddhanta-sarasvati,personality,jiva-tattva,gaudiya|acharya,Bhaktisiddhanta Sarasvati Thakura,Bhaktisiddhānta Sarasvatī Ṭhākura,Бхактисиддханта Сарасвати Тхакур,Sarasvati Thakura,Основатель Гаудия-матха; гуру Шрилы Прабхупады,,verified,verified
prabhupada,personality,jiva-tattva,gaudiya|founder-acharya|iskcon,A.C. Bhaktivedanta Swami Prabhupada,A.C. Bhaktivedānta Svāmī Prabhupāda,Шрила Прабхупада,Srila Prabhupada|Bhaktivedanta Swami|Abhay Charan,Основатель-ачарья ИСККОН,,verified,verified
vishnujana-swami,personality,jiva-tattva,iskcon|prabhupada-disciple,Vishnujana Swami,Viṣṇujana Svāmī,Вишнуджана Свами Махарадж,,"Ранний санньяси ИСККОН, прославившийся киртаном",,verified,verified
vyasadeva,personality,jiva-tattva,shaktyavesha|sage|parampara,Vyasa,Vyāsa,Вьясадева,Krishna-Dvaipayana|Badarayana|Veda-vyasa,Шактьявеша-аватара; составитель Вед; автор многих писаний,СБ 1.3.21,verified,verified
prithu,personality,jiva-tattva,shaktyavesha|king,Prithu,Pṛthu,Притху,,Наделённый силой царь-аватара (шактьявеша),СБ 4.15-23,verified,verified
bg,scripture,,prabhupada-book|canonical-scripture|gita,Bhagavad-gita As It Is,Bhagavad-gītā,Бхагавад-гита как она есть,Gita|Gitopanishad,Произнесена Кришной Арджуне; на vedabase.io,,verified,verified
sb,scripture,,prabhupada-book|purana|bhagavatam,Srimad-Bhagavatam,Śrīmad-Bhāgavatam,Шримад-Бхагаватам,Bhagavata Purana|Bhagavatam,Двенадцать песней; на vedabase.io,,verified,verified
cc,scripture,,prabhupada-book|gaudiya,Sri Chaitanya-charitamrita,Śrī Caitanya-caritāmṛta,Шри Чайтанья-чаритамрита,Chaitanya-charitamrita,Биография и учения Чайтаньи; на vedabase.io,,verified,verified
brs,scripture,,prabhupada-book|gaudiya,The Nectar of Devotion,Bhakti-rasāmṛta-sindhu,Нектар преданности,Bhakti-rasamrita-sindhu,Изложение труда Рупы Госвами,,verified,verified
noi,scripture,,prabhupada-book|gaudiya,The Nectar of Instruction,Upadeśāmṛta,Нектар наставлений,Upadeshamrita,Одиннадцать стихов наставлений Рупы Госвами,,verified,verified
iso,scripture,,prabhupada-book|upanishad,Sri Isopanisad,Śrī Īśopaniṣad,Шри Ишопанишад,Isopanisad,Восемнадцать мантр с комментариями,,verified,verified
bs,scripture,,canonical-scripture|gaudiya,Brahma-samhita,Brahma-saṁhitā,Брахма-самхита,,Молитвы Брахмы; пятая глава,,verified,verified
cb,scripture,,gaudiya,Caitanya-bhagavata,Caitanya-bhāgavata,Чайтанья-бхагавата,,Ранняя биография Чайтаньи,,verified,verified
hbv,scripture,,gaudiya,Hari-bhakti-vilasa,Hari-bhakti-vilāsa,Хари-бхакти-виласа,,Вайшнавское поведение; через Санатану Госвами,,verified,verified
krishna-book,scripture,,prabhupada-book,Krishna the Supreme Personality of Godhead,Kṛṣṇa,Кришна Верховная Личность Бога,KRSNA Book,Изложение Десятой песни,,verified,verified
tlc,scripture,,prabhupada-book|gaudiya,Teachings of Lord Chaitanya,Teachings of Lord Caitanya,Учение Шри Чайтаньи,,Изложение по «Чайтанья-чаритамрите»,,verified,verified
vedanta-sutra,scripture,,canonical-scripture,Vedanta-sutra,Vedānta-sūtra,Веданта-сутра,Brahma-sutra,Афоризмы Вьясадевы об Абсолюте,,verified,verified
mahabharata,scripture,,canonical-scripture|itihasa,Mahabharata,Mahābhārata,Махабхарата,,"Эпос Вьясадевы, содержащий «Бхагавад-гиту»",,verified,verified
ramayana,scripture,,canonical-scripture|itihasa,Ramayana,Rāmāyaṇa,Рамаяна,,Эпос о Господе Раме; Валмики,,verified,verified
puranas,scripture,,canonical-scripture,The Puranas,Purāṇa,Пураны,,Восемнадцать основных Пуран,,verified,verified
upanishads,scripture,,canonical-scripture,The Upanishads,Upaniṣad,Упанишады,,Философские разделы Вед,,verified,verified
vedas,scripture,,canonical-scripture,The Vedas,Veda,Веды,Rig|Yajur|Sama|Atharva,Четыре изначальные Веды,,verified,verified
ggd,scripture,,scripture,Gaura-ganoddesha-dipika,Gaura-gaṇoddeśa-dīpikā,Гаура-ганоддеша-дипика,GGD,Книга Кави Карнапуры: тождества спутников Чайтаньи в Кришна-лиле,Kavi Karnapura,verified,verified
prabhupada-lilamrita,scripture,,scripture,Srila Prabhupada-lilamrta,Śrīla Prabhupāda-līlāmṛta,Шрила Прабхупада-лиламрита,,Биография Шрилы Прабхупады,Satsvarupa dasa Goswami,verified,verified
kavi-karnapura,personality,jiva-tattva,gaudiya|chaitanya-associate,Kavi Karnapura,Kavi Karṇapūra,Кави Карнапура,,Автор Гаура-ганоддеша-дипики; сын Шивананды Сены,GGD,verified,verified
cm,scripture,,scripture,Chaitanya-mangala,Caitanya-maṅgala,Чайтанья-мангала,,Биография Чайтаньи (Лочана дас Тхакур),Lochana dasa Thakura,verified,verified
lochana-dasa-thakura,personality,jiva-tattva,gaudiya,Lochana dasa Thakura,Locana Dāsa Ṭhākura,Лочана дас Тхакур,,Автор Чайтанья-мангалы,Чайтанья-мангала,verified,verified
madhumangala,personality,jiva-tattva,krishna-lila|rasa:sakhya|associate,Madhumangala,Madhumaṅgala,Мадхумангала,,Весёлый друг-брахман Кришны во Врадже (нарма-сакха).,Видагдха-Мадхава; ГГД,verified,provisional
upananda,personality,jiva-tattva,vraja|krishna-family|rasa:vatsalya,Upananda,Upānanda,Упананда,,"Старший брат Махараджи Нанды, глава старших Враджа.",ШБ 10.11,verified,provisional
