id,type,tattva,category,name_en,name_iast,name_ru,aliases,note,source_ref,confidence
bhakti-raghava-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Raghava Swami,Bhakti Rāghava Svāmī,Бхакти Рагхава Свами,BRS,,GBC gbc.iskcon.org,verified
bhakti-ratnakara-ambarisa-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Ratnakara Ambarisa Swami,Bhakti Ratnakara Ambarisa Svāmī,Бхакти Ратнакара Амбариса Свами,BRAS,,GBC gbc.iskcon.org,verified
bhakti-sundar-goswami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Sundar Goswami,Bhakti Sundar Gosvāmī,Бхакти Сундар Госвами,BSG,,GBC gbc.iskcon.org,verified
bhakti-vasudeva-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Vasudeva Swami,Bhakti Vasudeva Svāmī,Бхакти Васудева Свами,BHVS,,GBC gbc.iskcon.org,verified
bhakti-vijnana-goswami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Vijnana Goswami,Bhakti Vijnana Gosvāmī,Бхакти Вигьяна Госвами,BVG,,GBC gbc.iskcon.org,verified
bhakti-vikasa-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Vikasa Swami,Bhakti Vikasa Svāmī,Бхакти Викаса Свами,BVKS,,GBC gbc.iskcon.org,verified
bhaktivyasa-tirtha-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhaktivyasa Tirtha Swami,Bhaktivyasa Tīrtha Svāmī,Бхактивяса Тиртха Свами,BVTS,,GBC gbc.iskcon.org,verified
bhakti-vv-narasimha-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti VV Narasimha Swami,Bhakti VV Narasiṁha Svāmī,Бхакти Вв Нарасимха Свами,BVVNS,,GBC gbc.iskcon.org,verified
bhakti-bhusana-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti-bhusana Swami,Bhakti-bhusana Svāmī,Бхакти-Бхусана Свами,BBS,,GBC gbc.iskcon.org,verified
bhaktimarga-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhaktimarga Swami,Bhaktimarga Svāmī,Бхактимарга Свами,BMS,,GBC gbc.iskcon.org,verified
bhaktipada-goswami,personality,jiva-tattva,iskcon|initiating-guru,Bhaktipada Goswami,Bhaktipada Gosvāmī,Бхактипада Госвами,BPG,,GBC gbc.iskcon.org,verified
bhurijana-das,personality,jiva-tattva,iskcon|initiating-guru,Bhurijana Das,Bhurijana Dāsa,Бхуриджана Дас,BJD,,GBC gbc.iskcon.org,verified
bir-krsna-das-goswami,personality,jiva-tattva,iskcon|initiating-guru,Bir Krsna Das Goswami,Bir Kṛṣṇa Dāsa Gosvāmī,Бир Крсна Дас Госвами,BKG,,GBC gbc.iskcon.org,verified
caitanya-avatari-das,personality,jiva-tattva,iskcon|initiating-guru,Caitanya Avatari Das,Caitanya Avatari Dāsa,Чайтаня Аватари Дас,CAD,,GBC gbc.iskcon.org,verified
caitanya-candra-caran-das,personality,jiva-tattva,iskcon|initiating-guru,Caitanya Candra Caran Das,Caitanya Candra Caran Dāsa,Чайтанячандрачаран Дас,CCCD,,GBC gbc.iskcon.org,verified
candra-mukha-swami,personality,jiva-tattva,iskcon|initiating-guru,Candra Mukha Swami,Candra Mukha Svāmī,Чандра Муха Свами,CMKS,,GBC gbc.iskcon.org,verified
candramauli-swami,personality,jiva-tattva,iskcon|initiating-guru,Candramauli Swami,Candramauli Svāmī,Чандрамаули Свами,CMS,,GBC gbc.iskcon.org,verified
danavir-goswami,personality,jiva-tattva,iskcon|initiating-guru,Danavir Goswami,Danavir Gosvāmī,Данавир Госвами,DG,,GBC gbc.iskcon.org,verified
dayavan-swami,personality,jiva-tattva,iskcon|initiating-guru,Dayavan Swami,Dayavan Svāmī,Даяван Свами,DS,,GBC gbc.iskcon.org,verified
devakinandan-das,personality,jiva-tattva,iskcon|initiating-guru,Devakinandan Das,Devakinandan Dāsa,Девакинандан Дас,DND,,GBC gbc.iskcon.org,verified
devamrita-swami,personality,jiva-tattva,iskcon|initiating-guru,Devamrita Swami,Devamrita Svāmī,Девамрита Свами,DAS,,GBC gbc.iskcon.org,verified
dhanvantari-swami,personality,jiva-tattva,iskcon|initiating-guru,Dhanvantari Swami,Dhanvantari Svāmī,Дханвантари Свами,DVS,,GBC gbc.iskcon.org,verified
dhirasanta-das-goswami,personality,jiva-tattva,iskcon|initiating-guru,Dhirasanta Das Goswami,Dhirasanta Dāsa Gosvāmī,Дхирасанта Дас Госвами,DDG,,GBC gbc.iskcon.org,verified
drutakarma-das,personality,jiva-tattva,iskcon|initiating-guru,Drutakarma Das,Drutakarma Dāsa,Друтакарма Дас,DKD,,GBC gbc.iskcon.org,verified
gauranga-prem-swami,personality,jiva-tattva,iskcon|initiating-guru,Gauranga Prem Swami,Gauranga Prem Svāmī,Гауранга Прем Свами,GRPS,,GBC gbc.iskcon.org,verified
giridhari-swami,personality,jiva-tattva,iskcon|initiating-guru,Giridhari Swami,Giridhari Svāmī,Гиридхари Свами,GDS,,GBC gbc.iskcon.org,verified
gopaswami-das,personality,jiva-tattva,iskcon|initiating-guru,Gopaswami Das,Gopaswami Dāsa,Гопасвами Дас,GSD,,GBC gbc.iskcon.org,verified
guru-prasad-swami,personality,jiva-tattva,iskcon|initiating-guru,Guru Prasad Swami,Guru Prasad Svāmī,Гуру Прасад Свами,GPS,,GBC gbc.iskcon.org,verified
haladhara-swami,personality,jiva-tattva,iskcon|initiating-guru,Haladhara Swami,Haladhara Svāmī,Халадхара Свами,HDS,,GBC gbc.iskcon.org,verified
hanumatpresaka-swami,personality,jiva-tattva,iskcon|initiating-guru,Hanumatpresaka Swami,Hanumatpresaka Svāmī,Хануматпресака Свами,HPS,,GBC gbc.iskcon.org,verified
harivilas-das,personality,jiva-tattva,iskcon|initiating-guru,Harivilas Das,Harivilas Dāsa,Харивилас Дас,HVD,,GBC gbc.iskcon.org,verified
hrdayananda-dasa-goswami,personality,jiva-tattva,iskcon|initiating-guru,Hrdayananda dasa Goswami,Hrdayananda Dāsa Gosvāmī,Хрдаянанда Даса Госвами,HDG,,GBC gbc.iskcon.org,verified
indradyumna-swami,personality,jiva-tattva,iskcon|initiating-guru,Indradyumna Swami,Indradyumna Svāmī,Индрадюмна Свами,IDS,,GBC gbc.iskcon.org,verified
janananda-dasa-goswami,personality,jiva-tattva,iskcon|initiating-guru,Janananda dasa Goswami,Janananda Dāsa Gosvāmī,Джанананда Даса Госвами,JG,,GBC gbc.iskcon.org,verified
jayadvaita-swami,personality,jiva-tattva,iskcon|initiating-guru,Jayadvaita Swami,Jayadvaita Svāmī,Джаядвайта Свами,JAS,,GBC gbc.iskcon.org,verified
jayapataka-swami,personality,jiva-tattva,iskcon|initiating-guru,Jayapataka Swami,Jayapataka Svāmī,Джаяпатака Свами,JPS,,GBC gbc.iskcon.org,verified
jivananda-das,personality,jiva-tattva,iskcon|initiating-guru,Jivananda Das,Jivananda Dāsa,Дживананда Дас,JND,,GBC gbc.iskcon.org,verified
kalakantha-das,personality,jiva-tattva,iskcon|initiating-guru,Kalakantha Das,Kalakantha Dāsa,Калакантха Дас,KKD,,GBC gbc.iskcon.org,verified
kavicandra-swami,personality,jiva-tattva,iskcon|initiating-guru,Kavicandra Swami,Kavicandra Svāmī,Кавичандра Свами,KVCS,,GBC gbc.iskcon.org,verified
kesava-bharati-dasa-goswami,personality,jiva-tattva,iskcon|initiating-guru,Kesava Bharati dasa Goswami,Keśava Bhāratī Dāsa Gosvāmī,Кесава Бхарати Даса Госвами,KBDG,,GBC gbc.iskcon.org,verified
kratu-das,personality,jiva-tattva,iskcon|initiating-guru,Kratu Das,Kratu Dāsa,Крату Дас,KRD,,GBC gbc.iskcon.org,verified
kripamoya-das,personality,jiva-tattva,iskcon|initiating-guru,Kripamoya Das,Kripamoya Dāsa,Крипамоя Дас,KMD,,GBC gbc.iskcon.org,verified
krsna-ksetra-swami,personality,jiva-tattva,iskcon|initiating-guru,Krsna Ksetra Swami,Kṛṣṇa Ksetra Svāmī,Крсна Ксетра Свами,KRKS,,GBC gbc.iskcon.org,verified
lokanath-swami,personality,jiva-tattva,iskcon|initiating-guru,Lokanath Swami,Lokanath Svāmī,Локанатх Свами,LOK,,GBC gbc.iskcon.org,verified
madana-mohana-das,personality,jiva-tattva,iskcon|initiating-guru,Madana-mohana Das,Madana-mohana Dāsa,Мадана-Мохана Дас,MM,,GBC gbc.iskcon.org,verified
madan-gopal-das,personality,jiva-tattva,iskcon|initiating-guru,Madan Gopal Das,Madan Gopāla Dāsa,Мадан Гопал Дас,MGD,,GBC gbc.iskcon.org,verified
madhu-sevita-das,personality,jiva-tattva,iskcon|initiating-guru,Madhu Sevita Das,Madhu Sevita Dāsa,Мадху Севита Дас,MSD,,GBC gbc.iskcon.org,verified
mahadyuti-swami,personality,jiva-tattva,iskcon|initiating-guru,Mahadyuti Swami,Mahadyuti Svāmī,Махадюти Свами,MDS,,GBC gbc.iskcon.org,verified
mahaman-das,personality,jiva-tattva,iskcon|initiating-guru,Mahaman Das,Mahaman Dāsa,Махаман Дас,MMD,,GBC gbc.iskcon.org,verified
mahaprabhu-swami,personality,jiva-tattva,iskcon|initiating-guru,Mahaprabhu Swami,Mahāprabhu Svāmī,Махапрабху Свами,MPS,,GBC gbc.iskcon.org,verified
mahatma-das,personality,jiva-tattva,iskcon|initiating-guru,Mahatma Das,Mahatma Dāsa,Махатма Дас,MD,,GBC gbc.iskcon.org,verified
mahavisnu-swami,personality,jiva-tattva,iskcon|initiating-guru,Mahavisnu Swami,Mahavisnu Svāmī,Махависну Свами,MVS,,GBC gbc.iskcon.org,verified
mani-bandha-das,personality,jiva-tattva,iskcon|initiating-guru,Mani Bandha Das,Mani Bandha Dāsa,Мани Бандха Дас,MBD,,GBC gbc.iskcon.org,verified
manonatha-das,personality,jiva-tattva,iskcon|initiating-guru,Manonatha Das,Manonatha Dāsa,Манонатха Дас,MND,,GBC gbc.iskcon.org,verified
matsya-avatara-das,personality,jiva-tattva,iskcon|initiating-guru,Matsya Avatara Das,Matsya Avatara Dāsa,Матся Аватара Дас,MAD,,GBC gbc.iskcon.org,verified
medhavi-das,personality,jiva-tattva,iskcon|initiating-guru,Medhavi Das,Medhavi Dāsa,Медхави Дас,MDD,,GBC gbc.iskcon.org,verified
narayani-devi-dasi,personality,jiva-tattva,iskcon|initiating-guru,Narayani Devi Dasi,Narayani Devī Dāsī,Нараяни Деви Даси,NDD,,GBC gbc.iskcon.org,verified
navayogendra-swami,personality,jiva-tattva,iskcon|initiating-guru,Navayogendra Swami,Navayogendra Svāmī,Наваёгендра Свами,NYS,,GBC gbc.iskcon.org,verified
niranjana-swami,personality,jiva-tattva,iskcon|initiating-guru,Niranjana Swami,Niranjana Svāmī,Ниранджана Свами,NRS,,GBC gbc.iskcon.org,verified
partha-sarathi-das-goswami,personality,jiva-tattva,iskcon|initiating-guru,Partha Sarathi Das Goswami,Partha Sarathi Dāsa Gosvāmī,Партха Саратхи Дас Госвами,PSDG,,GBC gbc.iskcon.org,verified
patita-pavana-das,personality,jiva-tattva,iskcon|initiating-guru,Patita Pavana Das,Patita Pavana Dāsa,Патита Павана Дас,PPD,,GBC gbc.iskcon.org,verified
prabodhananda-saraswati-swami,personality,jiva-tattva,iskcon|initiating-guru,Prabodhananda Saraswati Swami,Prabodhananda Saraswati Svāmī,Прабодхананда Сарасвати Свами,PSS,,GBC gbc.iskcon.org,verified
prahladananda-swami,personality,jiva-tattva,iskcon|initiating-guru,Prahladananda Swami,Prahladananda Svāmī,Прахладананда Свами,PAS,,GBC gbc.iskcon.org,verified
purushatraya-swami,personality,jiva-tattva,iskcon|initiating-guru,Purushatraya Swami,Puruśatraya Svāmī,Пурушатрая Свами,PTS,,GBC gbc.iskcon.org,verified
radhacaran-das,personality,jiva-tattva,iskcon|initiating-guru,Radhacaran Das,Radhacaran Dāsa,Радхачаран Дас,RCD,,GBC gbc.iskcon.org,verified
radha-govinda-das,personality,jiva-tattva,iskcon|initiating-guru,Radha Govinda Das,Rādhā Govinda Dāsa,Радха Говинда Дас,RGD,,GBC gbc.iskcon.org,verified
radha-govinda-swami,personality,jiva-tattva,iskcon|initiating-guru,Radha Govinda Swami,Rādhā Govinda Svāmī,Радха Говинда Свами,RGM,,GBC gbc.iskcon.org,verified
radha-krishna-das,personality,jiva-tattva,iskcon|initiating-guru,Radha Krishna Das,Rādhā Kṛṣṇa Dāsa,Радха Кришна Дас,RKD,,GBC gbc.iskcon.org,verified
radhanath-swami,personality,jiva-tattva,iskcon|initiating-guru,Radhanath Swami,Radhanath Svāmī,Радханатх Свами,RNS,,GBC gbc.iskcon.org,verified
rama-govinda-swami,personality,jiva-tattva,iskcon|initiating-guru,Rama Govinda Swami,Rāma Govinda Svāmī,Рама Говинда Свами,RMGS,,GBC gbc.iskcon.org,verified
ravindra-svarupa-das,personality,jiva-tattva,iskcon|initiating-guru,Ravindra Svarupa Das,Ravindra Svarūpa Dāsa,Равиндра Сварупа Дас,RVSD,,GBC gbc.iskcon.org,verified
revati-raman-das,personality,jiva-tattva,iskcon|initiating-guru,Revati Raman Das,Revati Raman Dāsa,Ревати Раман Дас,RRD,,GBC gbc.iskcon.org,verified
romapada-swami,personality,jiva-tattva,iskcon|initiating-guru,Romapada Swami,Romapada Svāmī,Ромапада Свами,RPS,,GBC gbc.iskcon.org,verified
rtadhvaja-swami,personality,jiva-tattva,iskcon|initiating-guru,Rtadhvaja Swami,Rtadhvaja Svāmī,Ртадхваджа Свами,RTS,,GBC gbc.iskcon.org,verified
sacinandana-swami,personality,jiva-tattva,iskcon|initiating-guru,Sacinandana Swami,Sacinandana Svāmī,Сачинандана Свами,SNS,,GBC gbc.iskcon.org,verified
samik-rsi-das,personality,jiva-tattva,iskcon|initiating-guru,Samik Rsi Das,Samik Rsi Dāsa,Самик Рси Дас,SRD,,GBC gbc.iskcon.org,verified
sankarsana-das,personality,jiva-tattva,iskcon|initiating-guru,Sankarsana Das,Sankarsana Dāsa,Санкарсана Дас,SDA,,GBC gbc.iskcon.org,verified
satyadeva-das,personality,jiva-tattva,iskcon|initiating-guru,Satyadeva Das,Satyadeva Dāsa,Сатядева Дас,SDD,,GBC gbc.iskcon.org,verified
siddhartha-swami,personality,jiva-tattva,iskcon|initiating-guru,Siddhartha Swami,Siddhartha Svāmī,Сиддхартха Свами,SAS,,GBC gbc.iskcon.org,verified
sikhi-mahiti-das,personality,jiva-tattva,iskcon|initiating-guru,Sikhi Mahiti Das,Sikhi Mahiti Dāsa,Сихи Махити Дас,SMD,,GBC gbc.iskcon.org,verified
sivarama-swami,personality,jiva-tattva,iskcon|initiating-guru,Sivarama Swami,Sivarama Svāmī,Сиварама Свами,SRS,,GBC gbc.iskcon.org,verified
smita-krsna-swami,personality,jiva-tattva,iskcon|initiating-guru,Smita Krsna Swami,Smita Kṛṣṇa Svāmī,Смита Крсна Свами,SKS,,GBC gbc.iskcon.org,verified
sridhama-das,personality,jiva-tattva,iskcon|initiating-guru,Sridhama Das,Sridhama Dāsa,Сридхама Дас,SD,,GBC gbc.iskcon.org,verified
srivas-das,personality,jiva-tattva,iskcon|initiating-guru,Srivas Das,Srivas Dāsa,Сривас Дас,SVD,,GBC gbc.iskcon.org,verified
subhaga-swami,personality,jiva-tattva,iskcon|initiating-guru,Subhaga Swami,Subhaga Svāmī,Субхага Свами,SSM,,GBC gbc.iskcon.org,verified
sundarananda-das,personality,jiva-tattva,iskcon|initiating-guru,Sundarananda Das,Sundarananda Dāsa,Сундарананда Дас,SND,,GBC gbc.iskcon.org,verified
sukadeva-swami,personality,jiva-tattva,iskcon|initiating-guru,Sukadeva Swami,Śukadeva Svāmī,Сукадева Свами,SDS,,GBC gbc.iskcon.org,verified
umapati-das,personality,jiva-tattva,iskcon|initiating-guru,Umapati Das,Umapati Dāsa,Умапати Дас,UPD,,GBC gbc.iskcon.org,verified
vaisesika-das,personality,jiva-tattva,iskcon|initiating-guru,Vaisesika Das,Vaisesika Dāsa,Вайсесика Дас,VSD,,GBC gbc.iskcon.org,verified
varsana-swami,personality,jiva-tattva,iskcon|initiating-guru,Varsana Swami,Varsana Svāmī,Варсана Свами,VS,,GBC gbc.iskcon.org,verified
vatsala-das,personality,jiva-tattva,iskcon|initiating-guru,Vatsala Das,Vatsala Dāsa,Ватсала Дас,VD,,GBC gbc.iskcon.org,verified
vasu-srestha-das,personality,jiva-tattva,iskcon|initiating-guru,Vasu Srestha Das,Vasu Srestha Dāsa,Васу Срестха Дас,VSD,,GBC gbc.iskcon.org,verified
vedavyasapriya-swami,personality,jiva-tattva,iskcon|initiating-guru,Vedavyasapriya Swami,Vedavyasapriya Svāmī,Ведавясаприя Свами,VVPS,,GBC gbc.iskcon.org,verified
virabahu-das,personality,jiva-tattva,iskcon|initiating-guru,Virabahu Das,Virabahu Dāsa,Вирабаху Дас,VBD,,GBC gbc.iskcon.org,verified
yadunandana-swami,personality,jiva-tattva,iskcon|initiating-guru,Yadunandana Swami,Yadunandana Svāmī,Ядунандана Свами,YNS,,GBC gbc.iskcon.org,verified
yamunacarya-das-goswami,personality,jiva-tattva,iskcon|initiating-guru,Yamunacarya Das Goswami,Yamunacarya Dāsa Gosvāmī,Ямуначаря Дас Госвами,YDG,,GBC gbc.iskcon.org,verified
bhanu-swami,personality,jiva-tattva,iskcon|guru|not-accepting,Bhanu Swami,Bhanu Svāmī,Бхану Свами,,,GBC gbc.iskcon.org,verified
ganapati-swami,personality,jiva-tattva,iskcon|guru|not-accepting,Ganapati Swami,Ganapati Svāmī,Ганапати Свами,,,GBC gbc.iskcon.org,verified
giriraja-swami,personality,jiva-tattva,iskcon|guru|not-accepting,Giriraja Swami,Giriraja Svāmī,Гирираджа Свами,GRS,,GBC gbc.iskcon.org,verified
mukunda-goswami,personality,jiva-tattva,iskcon|guru|not-accepting,Mukunda Goswami,Mukunda Gosvāmī,Мукунда Госвами,MG,,GBC gbc.iskcon.org,verified
satsvarupa-das-goswami,personality,jiva-tattva,iskcon|guru|not-accepting,Satsvarupa Das Goswami,Satsvarupa Dāsa Gosvāmī,Сатсварупа Дас Госвами,SDG,,GBC gbc.iskcon.org,verified
vegavan-das,personality,jiva-tattva,iskcon|guru|not-accepting,Vegavan Das,Vegavan Dāsa,Вегаван Дас,,,GBC gbc.iskcon.org,verified
bhakti-tirtha-swami,personality,jiva-tattva,iskcon|guru|departed,Bhakti Tirtha Swami,Bhakti Tīrtha Svāmī,Бхакти Тиртха Свами,,,GBC gbc.iskcon.org,verified
tamal-krishna-goswami,personality,jiva-tattva,iskcon|guru|departed,Tamal Krishna Goswami,Tamal Kṛṣṇa Gosvāmī,Тамал Кришна Госвами,,,GBC gbc.iskcon.org,verified
gopal-krishna-goswami,personality,jiva-tattva,iskcon|guru|departed,Gopal Krishna Goswami,Gopāla Kṛṣṇa Gosvāmī,Гопал Кришна Госвами,,,GBC gbc.iskcon.org,verified
gour-govinda-swami,personality,jiva-tattva,iskcon|guru|departed,Gour Govinda Swami,Gour Govinda Svāmī,Гоур Говинда Свами,,,GBC gbc.iskcon.org,verified
bhakti-charu-swami,personality,jiva-tattva,iskcon|guru|departed,Bhakti Charu Swami,Bhakti Charu Svāmī,Бхактичару Свами,,,GBC gbc.iskcon.org,verified
